390.0,4.07619067E-04,3.58227395E-04,6.14264795E-03
391.0,4.97068044E-04,4.38659772E-04,7.44279983E-03
392.0,6.04713055E-04,5.36229645E-04,9.01661277E-03
393.0,7.33639961E-04,6.54061427E-04,1.09170443E-02
394.0,8.87247144E-04,7.95648906E-04,1.32053126E-02
395.0,1.06920754E-03,9.64828092E-04,1.59514687E-02
396.0,1.28340265E-03,1.16571964E-03,1.92347428E-02
397.0,1.53382255E-03,1.40263299E-03,2.31435510E-02
398.0,1.82442670E-03,1.67992438E-03,2.77750287E-02
399.0,2.15896116E-03,2.00180227E-03,3.32339394E-02
400.0,2.54073042E-03,2.37207532E-03,3.96307943E-02
401.0,2.97282194E-03,2.79433492E-03,4.70800883E-02
402.0,3.45993397E-03,3.27374173E-03,5.57011972E-02
403.0,4.00792850E-03,3.81659740E-03,6.56137204E-02
404.0,4.62370068E-03,4.43020960E-03,7.69323091E-02
405.0,5.31546236E-03,5.12316225E-03,8.97612227E-02
406.0,6.09137851E-03,5.90457922E-03,1.04187586E-01
407.0,6.95291034E-03,6.78004939E-03,1.20272661E-01
408.0,7.89633545E-03,7.75259599E-03,1.38043703E-01
409.0,8.91300306E-03,8.82285581E-03,1.57485212E-01
410.0,9.98835098E-03,9.98840819E-03,1.78529924E-01
411.0,1.11054038E-02,1.12451666E-02,2.01077133E-01
412.0,1.22607072E-02,1.25949359E-02,2.25091371E-01
413.0,1.34578105E-02,1.40425046E-02,2.50565778E-01
414.0,1.47044177E-02,1.55944426E-02,2.77506961E-01
415.0,1.60129841E-02,1.72595696E-02,3.05941113E-01
416.0,1.73957850E-02,1.90466824E-02,3.35857654E-01
417.0,1.88451502E-02,2.09545063E-02,3.66980778E-01
418.0,2.03439676E-02,2.29762958E-02,3.98876194E-01
419.0,2.18700082E-02,2.51016912E-02,4.30998456E-01
420.0,2.33957137E-02,2.73163327E-02,4.62692207E-01
421.0,2.48960713E-02,2.96062323E-02,4.93356936E-01
422.0,2.63760991E-02,3.19745711E-02,5.23006416E-01
423.0,2.78541460E-02,3.44330162E-02,5.51939343E-01
424.0,2.93550613E-02,3.69982979E-02,5.80598887E-01
425.0,3.09103789E-02,3.96928205E-02,6.09570091E-01
426.0,3.25498144E-02,4.25401678E-02,6.39359480E-01
427.0,3.42713708E-02,4.55473988E-02,6.69651384E-01
428.0,3.60619705E-02,4.87160707E-02,6.99829407E-01
429.0,3.79051936E-02,5.20466512E-02,7.29177312E-01
430.0,3.97809896E-02,5.55383864E-02,7.56884632E-01
431.0,4.16704959E-02,5.91875912E-02,7.82292492E-01
432.0,4.35728181E-02,6.29818835E-02,8.05666218E-01
433.0,4.54931897E-02,6.69031370E-02,8.27598827E-01
434.0,4.74384679E-02,7.09284594E-02,8.48779613E-01
435.0,4.94171973E-02,7.50298610E-02,8.69984288E-01
436.0,5.14343241E-02,7.91768755E-02,8.91761454E-01
437.0,5.34734957E-02,8.33462967E-02,9.13444187E-01
438.0,5.55101837E-02,8.75159754E-02,9.33976780E-01
439.0,5.75166148E-02,9.16624524E-02,9.52217574E-01
440.0,5.94618805E-02,9.57611568E-02,9.66959512E-01
441.0,6.13240417E-02,9.97976650E-02,9.77339714E-01
442.0,6.31288104E-02,1.03804444E-01,9.84028489E-01
443.0,6.49188709E-02,1.07833911E-01,9.88144262E-01
444.0,6.67425220E-02,1.11948323E-01,9.90851399E-01
445.0,6.86537572E-02,1.16220119E-01,9.93336464E-01
446.0,7.06962597E-02,1.20706423E-01,9.96373055E-01
447.0,7.28507773E-02,1.25363380E-01,9.99038261E-01
448.0,7.50777929E-02,1.30110900E-01,9.99977704E-01
449.0,7.73325481E-02,1.34856157E-01,9.97843807E-01
450.0,7.95647427E-02,1.39493318E-01,9.91328844E-01
451.0,8.17367878E-02,1.43943197E-01,9.79656833E-01
452.0,8.38826467E-02,1.48281321E-01,9.63905274E-01
453.0,8.60598412E-02,1.52637200E-01,9.45572609E-01
454.0,8.83322210E-02,1.57157314E-01,9.26077974E-01
455.0,9.07704422E-02,1.62006089E-01,9.06735013E-01
456.0,9.34396502E-02,1.67331022E-01,8.88508684E-01
457.0,9.63577369E-02,1.73144024E-01,8.71352726E-01
458.0,9.95304112E-02,1.79417301E-01,8.54998119E-01
459.0,1.02963638E-01,1.86116982E-01,8.39198110E-01
460.0,1.06663473E-01,1.93201620E-01,8.23725866E-01
461.0,1.10628875E-01,2.00620869E-01,8.08307014E-01
462.0,1.14828329E-01,2.08314694E-01,7.92431266E-01
463.0,1.19216554E-01,2.16212216E-01,7.75568995E-01
464.0,1.23740001E-01,2.24230755E-01,7.57244298E-01
465.0,1.28336042E-01,2.32275228E-01,7.37042702E-01
466.0,1.32947308E-01,2.40257457E-01,7.14729722E-01
467.0,1.37570252E-01,2.48160008E-01,6.90557634E-01
468.0,1.42217721E-01,2.55986600E-01,6.64889610E-01
469.0,1.46905145E-01,2.63743829E-01,6.38077566E-01
470.0,1.51650594E-01,2.71441153E-01,6.10456321E-01
471.0,1.56475083E-01,2.79096592E-01,5.82345911E-01
472.0,1.61403513E-01,2.86755395E-01,5.54065304E-01
473.0,1.66464397E-01,2.94475679E-01,5.25902909E-01
474.0,1.71689909E-01,3.02323267E-01,4.98108396E-01
475.0,1.77116190E-01,3.10372033E-01,4.70893608E-01
476.0,1.82777360E-01,3.18691700E-01,4.44450133E-01
